text,category,sentiment,offensive
ഒരു കാര്യം ചോദിച്ചോട്ടേ - പുതിയ ഇന്റര്സപ്റ്ററും മീറ്റിയോറുമൊക്കെ ഇറക്കിയപ്പോള് എന്ഫീല്ഡ് കൈവരിച്ച ആ റിഫൈന്മെന്റും ബില്ഡ് ക്വാളിറ്റിയും ഈ പുതിയ സ്ക്രാമിലും നിലനിര്ത്തിയിട്ടുണ്ടോ അതോ പഴയ ഹിമാലയന്റെയും ബുള്ളറ്റിന്റെയുമൊക്കെ തുടര്ച്ചയാണോ ഇത്,Travel_and_Events,neutral,0
കഴിഞ്ഞ ജൂലൈയില് ഞാ൯ ഈ വണ്ടി വാങ്ങി ഒരു കുഴപ്പവുമില്ലഇതിന്റെ പുറത്ത് കയറിയുള്ള റൈഡിംഗ് ഹോ പറഞ്ഞറിയിക്കാ൯ വയ്യ ഓരോ ദിവസവും ഇഷ്ടം കൂടി വരുന്നുഎപ്പോഴും ചിന്ത ഇവനെ പറ്റി മാത്രം,Travel_and_Events,positive,0
ചിത്രം കണ്ടു  ഗൾഫ് ലേക്ക് ആദ്യം വന്ന വർഷം ഓർത്തു പോയി അഭിനേതാക്കളും ഒന്നിനൊന്ന് മെച്ചംഎല്ലാവരെയും  നേരിട്ട് അറിയില്ലെങ്കിലും  ചില ആളുകളെയൊക്കെ നേരിൽ അറിയാംഎല്ലാവരും തകർത്തഭിനയിച്ചു പുതിയ സംവിധായകൻ എന്നു ഒരിക്കലും പറയില്ലപിന്നെ എല്ലാ പാട്ടുകളും സൂപ്പർ,Film_and_Animation,positive,0
എന്നും പ്രസക്തമായ കാലാതിവർത്തിയായ കഥ നമ്മുടെ ഗ്രാമാന്തരങ്ങളിലെ തറവാടുകളിൽ നടമാടി വന്ന ഭൂതകാലത്തിന്റെ പ്രേതം ഇതിൽ നിന്ന് വർത്തമാനവും ഭാവിയും ഉയിർകൊള്ളുമ്പോൾ സംസ്കാര ത്തികവിൽ പുതിയ ജീവിതം നെയ്തെടുക്കട്ടെ,Film_and_Animation,positive,0
അദ്ദേഹത്തിന്റെ വരുമാനത്തിൽ നിന്നും ഒരു രൂപ പാവങ്ങൾക്കായ് ധാനം നൽകിയതായി എന്തങ്കിലും തെളിവുകൾ ഉണ്ടോ നല്ല ഒരു ഗായകൻ തന്നെയാണ് ഏശുദാസ് തർക്കമില്ല പക്ഷ ഇതിൽ വിവരിച്ച കാര്യങ്ങൾ 100  സത്യമാക്കുന്നതാണ് നമ്മുടെ പ്രളയം വന്നു  കോവിഡ് മൂലം ദുരിതത്തിലായി പക്ഷേ ഒരു നല്ല വാക്ക് പറയാൻ പോലും ഈ വൃക്തിയേ കണ്ടില്ല സ്റ്റേജ് കിട്ടിയാൽ പ്രസംഘത്തിൽ പറയുന്നത് കേട്ടാൽ വളരെ മാന്യൻ,Film_and_Animation,negative,0
അതിനെന്താ അവരു രണ്ടുപേരും ഒന്നിച്ച് അഭിനയിക്കുക ട്ടെ മല്ലികാ സുകുമാരനും ജഗതി ശ്രീകുമാറും ഒരുമിച്ച് ഒരു സിനിമയിൽ അഭിനയിച്ചല്ലോ അതുപോലെ ദിലീപും മഞ്ജു വാര്യരെ ഒരുമിച്ച് അഭി നയിക്കട്ടെ അവർ രണ്ടുപേരും നല്ല ജോഡികൾ ആണ് ,Film_and_Animation,positive,0
പണ്ടൊക്കെ തിയേറ്ററിൽ ടിക്കറ്റ് കിട്ടാനായി ആദ്യം കുട്ടികളെയും ചെറുപ്പക്കാരെയും ക്യൂ നിർത്താൻ പറഞ്ഞയച്ചിട്ടായിരുന്നു മുതിർന്നവർ പിന്നാലെ പോയിരുന്നത് അന്ന് അങ്ങനെ ഓടിക്കിതച്ചു തിയേറ്ററിൽ ലേഡീസ് ക്യൂവിൽ ഒന്നാമതായി വരിനിന്ന് ഞങ്ങൾ കുട്ടികളെ അവിടെയുണ്ടായിരുന്ന ആളുകൾ കൂവുന്നത് കേട്ടപ്പോൾ പേടിയായി പിന്നീടാണ് ടിക്കറ്റു കൊടുക്കാൻ വന്ന ആൾ പറഞ്ഞത് ഈ സിനിമ കുട്ടികൾക്ക് കാണാൻ പാടില്ലെന്ന് അപ്പോഴാണ് അറിഞ്ഞത് ഞങ്ങൾ കാണാൻ ക്യൂ നിൽക്കുന്നത് ആദിപാപം എന്ന സിനിമക്കുവേണ്ടിയാണെന്ന് ഇന്നും ഈ സിനിമയെപ്പറ്റി ഓർക്കുമ്പോൾ ആ സംഭവമാണ് ഓർമ്മവരുന്നത്,Film_and_Animation,negative,0
വീഡിയോയുടെ അവസാന ഭാഗം കലക്കി ജയശങ്കർ സർ താങ്ങൾ അനേക വർഷങ്ങൾ കൂടി പൂർണ ആരോഗ്യവാനായി ജീവനോടെ ഇരിക്കൂ താങ്കളുടെ പേരിൽ ആരും അവാർഡ് ഉണ്ടാക്കി ഏഴാം കൂലികൾക് കൊടുക്കാൻ ഇട വരാതെ ഇരിക്കട്ടെ താങ്കൾക്ക് പകരം വെക്കാൻ ആരും ഇല്ല,People_and_Blogs,positive,0
 കലാകാരൻ എന്ന് പോരേ എന്തിനാണീ വൃദ്ധ കലാകാരൻ പ്രയോഗം വൃദ്ധ രാഷ്ടീയക്കാരനോ എഞ്ചിനീയറോ ഡോക്ടറോ അവതാരകനോ ഒന്നുമില്ലാത്തപ്പോൾ എന്തിന് കലാകാരൻ മാത്രം വൃദ്ധനാവണം,People_and_Blogs,negative,0
ഈ വക കാര്യങ്ങൾ പറഞ്ഞാൽ ഇപ്പോൾ ഉള്ള തലമുറ വിശ്വസിക്കില്ല മാത്രമല്ല പരിഹസിക്കുകയും ചെയ്യും    പല വീടുകളിലും ഇപ്പോൾ  സന്ധ്യക്ക് വിളക്ക് കത്തിക്കാൻ മെനക്കാടിറില്ല കാലം വളരെ മാറിപ്പോയി അന്തിത്തിരിയുടെ ഐശ്വര്യം പലരും ശ്രദ്ധിക്കാറില്ല ഇതും ദൈവനിശ്ചയമായിരിക്കാം എന്ന് കരുതി സമാധാനിക്കാം നമസ്കാരം,People_and_Blogs,negative,0
ഇന്ദിര ഗാന്ധിയുടെ ഓർമ്മകൾക്ക് മുൻപിൽ ആദരാഞ്ജലികൾ  വക്കീൽ സാറിന്റെ ഓർമ്മകൾക്കും അറിവിനെയും ഒരിക്കൽക്കൂടി നമിക്കുന്നു എന്തായാലും ഒരു യഥാർത്ഥ കഥയുടെ അവതരണം സൂപ്പർ  ഒരു സഞ്ജയ് ലീല ബാൻസലി സിനിമയ്ക്ക് നല്ല സാധ്യത കാണുന്നുണ്ട്,People_and_Blogs,positive,0
എട്ടാമത്തെ അറിയിപ്പ് ഒരുമാതിരി  മറ്റെടുത്ത അറിയിപ്പായിപ്പോയി സ്വയം തരം തഴല്ലേ സുഹൃത്തേ തമ്പുനെയിം വാർത്തയും ഒരു പുല ബന്ധം പോലുമില്ല അത്യാവശ്യം സബ്സ്ക്രൈബ് ഒണ്ടല്ലോ പിന്നെ എന്തിനാ,People_and_Blogs,negative,1
മനുഷ്യരെ ഏതെല്ലാം തരത്തിൽ പിഴിയാമോ അങ്ങനെയെല്ലാം പിഴിഞ്ഞെടുക്കുക എന്നുളളതാണ് ഈ സർക്കാരിന്റെയും ഉദ്യോഗസ്ഥരുടെയും തീരുമാനം എങ്കിലല്ലെ അവർക്ക് കൃത്യസമയത്ത് എഴുതിയെടുക്കാനും കട്ടെടുക്കാനും സാധിക്കുകയുള്ളു,People_and_Blogs,negative,0
കോറോണയെ അല്ല പേടിക്കേണ്ടത് മറ്റു ചിലതിനെയാണ്  2030വരെയെങ്കിലും  ഇതുപോലെ തന്നെ ലോക് ഡൌൺ മുന്നോട്ട് കൊണ്ട് പോകുക   പട്ടിണിയും പ്രാരാബ്ദവുമായി എല്ലാം തീരട്ടെ ,People_and_Blogs,negative,0
പ്രകൃതി അതിന്റെ നിയമം മാറ്റില്ല  അത്  കാലചക്രത്തിന്റെ ഗതിയനുസരിച്ചു മാറുംമനുഷ്യർ പ്രകൃതി വിരുദ്ധനടപടി സ്വികരിക്കുമ്പോൾ അത് അവരുടെ വായിൽ കലക്ക വെള്ളം കുടിപ്പിക്കും  നാം ഇപ്പോൾ കണ്ടുവരുന്നതും അങ്ങനാണല്ലോ  ഇതിന് തടയിടാൻ അതിനു ബാധ്യസ്ഥരായ ആൾക്കാർ ഇപ്പഴേ ശ്രെമിച്ചില്ലങ്കിൽ അവസാനം അവരുടെ സന്ദതികൾ ഭാവയിൽ പ്രകൃതി ദുരന്തത്തിൽ അകപ്പെട്ടുകൊണ്ടിരിക്കും ,People_and_Blogs,negative,0
വളരെ നന്ദി ഇക്കാഞാൻ ഇക്കയെ വിളിച്ച് മുകളിൽ പറഞ്ഞ കാര്യങ്ങൾ സംശയമായി ചോദിച്ചുഒരു മടിയും ഇല്ലാതെ എന്റെ സംശയം മാറ്റി തന്നുനമ്മുടെ എല്ലാ സുഹൃത്തുക്കൾക്കും വേണ്ടി ഒരു വീഡിയോ ആയി ഇത് ചെയ്യണം എന്ന് ആഗ്രഹം പറഞ്ഞപ്പോൾ ചെയ്യാമെന്ന് ഉറപ്പും തന്നുഇക്ക ഇക്ക വേറെ ലെവലാ,People_and_Blogs,positive,0
ഇവർ പറയുന്ന ഒന്നും ഇതുവരെ പ്രാബല്യത്തിൽ വന്നിട്ടില്ല ഗ്യാസ് സബ്സിടി കാര്യം തിരക്കി അക്ഷയ കേന്ദ്രത്തിൽ അവർ പറയുന്നു ഇതുവരെ ഒരു അറിയിപ്പും ഉണ്ടായിട്ടില്ല ഇവർ പറയുന്നതു കേട്ട് വരേണ്ട ന്യൂസ് ടീവി യിൽ വന്നോ പേപ്പറിൽ വാർത്ത ഉണ്ടൊ എങ്കിൽ ഓക്കേ എന്ന് ,People_and_Blogs,negative,0
നിങ്ങൾ മെയ് മാസത്തെ പെൻഷൻ മെയ് മാസത്തിൽ കിട്ടും എന്ന് പറഞ്ഞപ്പോൾ തന്നെ അറിയാം അത് കിട്ടാനുള്ളത് അല്ലെന്നു ശമ്പളം കൊടുക്കാനും മറ്റു കാര്യങ്ങളും സർക്കാരിന്റെ കയ്യിൽ പണമില്ല പിന്നെ ആണോ പാവങ്ങളുടെ പെൻഷൻ അതുകൊണ്ട് വിഷമം ഇല്ല സർക്കാർ കാര്യം മുറ പോലെ നടക്കട്ടെ പാവപെട്ടവരുടെ കാര്യം  നടന്നില്ലെങ്കിൽ ഒന്നുമില്ല,People_and_Blogs,negative,0
ഞാൻ ഒരു വിധവ ആണ് 2017 ൽ വീടിനു അപേക്ഷ കൊടുത്തിട്ട് എനിക്ക് വീട് തന്നിട്ടില്ല എനിക്കൊരു മകൾ ആണ് ഉള്ളത്ഞാൻ വീട്ടു ജോലിക് ആണ് പോകുന്നത് വീടിനു വേണ്ടിട്ട് ഒന്നും ആയിട്ടില്ല ഗൃഹശ്രീ ക്കു എവിടെയാണ് അപേക്ഷ കൊടുക്കാൻ ഉള്ളത്,People_and_Blogs,negative,0
മുല്ലപെരിയാർ കൊറോണ ഒമൈക്രോൺ പ്രളയം എന്തിനേറെ പേടിക്കാതെ ഒരു ദിവസം പോലും കഴിച്ചു കൂട്ടാൻ പറ്റില്ല പിന്നെ എന്തിനാ മരണത്തെ പേടിക്കുന്നെ,People_and_Blogs,negative,0
റേഷൻ കാർഡിൻ്റെ കാര്യം  ഉദ്യോഗസ്ഥർ നേരിട്ട് വീടുകളിൽ പോയി പരിശോധിച്ച് നടപടി എടുത്താൽ നല്ലത് രാഷ്ട്രീയ ഇടപെടൽ ഉണ്ടകതിരുന്നാൽ നല്ലത് എന്ത് നല്ലത് വന്നാലും രാഷ്ട്രീയക്കാർ   അതെല്ലാം കമ്മീഷൻ പറ്റി നശിപ്പിക്കും കുറെ പാവങ്ങൾ സത്യ സന്ധമായി പരിശോധന നടന്നാൽ രക്ഷ പെടും ,People_and_Blogs,negative,0
സാമൂഹിക സുരക്ഷാ പെൻഷൻ വാങ്ങുന്ന 60വയസ് തികഞ്ഞ സ്റീകൾക്ക് 5000രൂപ എങ്കിലും ആക്കണം ആണ് മക്കളുടെ വരുമാനം അവരുടെ ഭാര്യമാർ ക്കാണ് അമ്മ മാർ അധികപറ്റാണ്,People_and_Blogs,negative,0
സർവ്വശക്തനായ റബ്ബേസാഹചര്യങ്ങളുടെ സമർദ്ദംമൂലം ഞാനടക്കം പലർക്കും നിന്റെ വിഷയത്തിൽ പല വീഴ്ചകളും വന്നീട്ടുണ്ട് കരുണകടലായ റബ്ബേ നല്ല മരണം തന്ന് ഞങ്ങളെ തിരിച്ചു വിളിക്കണേ നാഥാനിന്റെ റഹമത്തിന്റെ മലക്കുകളെ കൊണ്ട് ഞങ്ങളെ സ്വീകരിക്കണെ നാഥാ നിന്റെ സ്വർഗ്ഗത്തിന്റെ അഹ്ലുകാരിൽ ഉൾപ്പെടു ത്തണേ നാഥാ അല്ലാഹുമ്മ സ്വല്ലി അലാ സയ്യദിനാ മുഹമ്മദ് വ അലാ ആലി സയ്യദിനാ മുഹമ്മദ് വ അസ്ഹാബി ഹി വ സല്ലിം,People_and_Blogs,negative,0
ഈ  വീഡിയോ വാട്സ്ആപ്പിൽ കണ്ടിരുന്നു അള്ളാഹു അദ്ദേഹരത്തിനു ദീർഗായുസ്സും  ആഫിയത്തും  നൽകട്ടെഞങ്ങളുടെ  വീട്ടിലെ കിണറിൽ  നിന്നാണ്   50 വർഷത്തോളമായി  അടുത്തുള്ള  പള്ളിയിലെ ഹൗളിലേക്ക് വെള്ളം അടിച്ച് കൊണ്ടിരിക്കുന്നത് റോഡിന്റെ അടിയിലൂടെ  പൈപ്പ് ഇട്ടാണ് ചെയ്തിരിക്കുന്നത് ,People_and_Blogs,positive,0
ഖുർആൻ അധ്യായം16 അന്നഹ്ൽ സൂക്തം6162 ജനത്തെ  അവരുടെ  അധർമ്മത്തിന്റെ പേരിൽ അല്ലാഹു ഉടനടി  ശിക്ഷിക്കുകയാണെങ്കിൽ  ഭൂമുഖത്ത്  ഒരു ജീവിയും  അവശേക്കുകയില്ലായിരുന്നു എന്നാൽ ഒരു നിശ്ചിചിത  സമയം  വരെ  എല്ലാവർക്കും അവസരം കൊടുക്കുകയാണ് ആ  സമയം  ആസനമായാൽ  പിന്നെ ഒരു നിമിഷം പോലു  മുന്തുവാനോ പിന്തുവാനോ ആരാലും  സാധ്യമല്ല,People_and_Blogs,negative,0
ജാടയില്ലാതെ വളരെ നിഷ്കളങ്കമായി ജീവിതവിജയത്തെക്കുറിച്ച് സ്വന്തം കുതിപ്പുകളെയും കിതപ്പുകളെയും കുറിച്ച് വിവരിച്ച അജിത്തിന് നന്ദി ജീവിതത്തിൽ സംഭവിക്കുന്ന തെറ്റുകൾ ഉൾകൊള്ളാനും അവ പരിശോധിച്ച് തെറ്റുകൾ തിരുത്തി മുന്നേറുവാനുമുള്ള അദ്ദേഹത്തിൻറെ നിർദ്ദേശത്തിന് അടിവരയിടുന്നു,People_and_Blogs,positive,0
ഇതുപോലെ പലർക്കും അനുഭവം ഉണ്ടായിട്ടുണ്ട് എന്തെങ്കിലും ചെയ്തേ പറ്റൂ എന്റെ ഒരു കൂട്ടുകാരിയുടെ ഭർത്താവിന്  രാത്രിയിൽ വലിയ വിഷമം വന്നു അമ്മയും മകനും മാത്രം ഉള്ളൂ അദ്ദേഹമാകട്ടെ റിട്ടയേഡ്  എസ്പി ആയിരുന്നു എന്നിട്ടുംഅവർ ഹോസ്പിറ്റലിൽ കൊണ്ടുപോകാൻ ഒരുപാട് ബുദ്ധിമുട്ടി എന്ന് പറഞ്ഞു ആംബുലൻസ് വിളിച്ചാൽ അതില്ല മിക്കവാറും ആവശ്യങ്ങൾ വരുന്നത് ഒരു ഒരു മണിക്കും അഞ്ചുമണിക്ക് ഇടയിലുള്ള സമയങ്ങളിൽ ആയിരിക്കും,People_and_Blogs,negative,0
 ഭാരതത്തിൽ ദൈവം  എന്ന പദം കൊണ്ടുദ്ദേശിക്കുന്ന  ശക്തി   ചാരാരങ്ങളുടെ ഉള്ളിൽ ആണ് ഇരിക്കുന്നത്    അള്ളാൻ  ഏഴാം ആകാശത്തിനപ്പുറം മലക്കുകൾ താങ്ങി കസേരയിൽ ഇരുത്തിയിരിക്കുന്നു   എങ്ങനെ രണ്ടും ഒന്നാവും  ഓതുന്നത് നിഷിദ്ധം എന്നത്  ശരി  പക്ഷേ  തുപ്പുന്നത്  മുഹമ്മത് പഠിപ്പിച്ച സുന്നത്തും അന്യ മതസ്ഥരെക്കൊന്നും എന്റെ ഭരണം സ്ഥാപിച്ചു തരാൻ  പറയുന്ന  അള്ളാനേ മറ്റുള്ളവർ വിശ്വസിക്കണോ ,People_and_Blogs,negative,1
മനുഷൃർ തമ്മിലുള്ളത് മനുഷ്യർ തന്നെ തീർക്കുക മിണ്ടാപ്റാണികളെ അതിലേക്ക് വലിച്ചിഴക്കരുത് ആ നായക്കുട്ടിയെ കണ്ടാലറിയാം അവർ നന്നായാണ് അതുങ്ങളെ നോക്കുന്നതെന്ന് ഉപദ്രവിക്കാത്ത ഇനമാണ് പഗ് ഞാൻ 10 വർഷായി വളർത്തുന്നുണ്ട്,People_and_Blogs,negative,0
